Calling_Number,Called_Number,Call_Date,Call_Time,Duration_Seconds,Call_Type,Cell_Tower_ID,Location,IMEI
+91 9876543210,+91 9811223344,2026-02-14,10:15:30,320,OUTGOING,TOWER-DEL-01,Connaught Place,864201049281734
+91 9876543210,+91 9822334455,2026-02-14,11:04:12,185,OUTGOING,TOWER-DEL-01,Connaught Place,864201049281734
+91 9811223344,+91 9899887766,2026-02-14,11:45:00,450,INCOMING,TOWER-BOM-04,Malad West,358912084712093
+91 9822334455,+91 9876543210,2026-02-14,14:22:10,95,INCOMING,TOWER-DEL-03,Gurgaon Sec 44,864201049281734
+91 9988776655,+91 9765432109,2026-03-02,01:10:05,612,OUTGOING,TOWER-PB-12,Amritsar Bypass,490128374910283
+91 9988776655,+91 9833445566,2026-03-02,02:40:19,240,OUTGOING,TOWER-PB-12,Amritsar Bypass,490128374910283
+91 9765432109,+91 9988776655,2026-03-02,03:05:44,54,INCOMING,TOWER-RJ-08,Jodhpur Highway,351829047129048
+91 9833445566,+91 9988776655,2026-03-02,04:15:00,180,INCOMING,TOWER-GJ-02,Ahmedabad Port,864019283746102
+91 9876543210,+91 9811223344,2026-03-10,09:30:15,510,OUTGOING,TOWER-DEL-01,Connaught Place,864201049281734
+91 9811223344,+91 9822334455,2026-03-10,12:00:00,210,OUTGOING,TOWER-DEL-02,South Ext,358912084712093
